"host_id","hosts_time_as_host_years","host_location","host_is_superhost","host_neighbourhood","host_listings_count","host_total_listings_count","neighbourhood_cleansed","neighbourhood_group_cleansed","latitude","longitude","minimum_nights","maximum_nights","availability_365","license","calculated_host_listings_count","calculated_host_listings_count_entire_homes","ocupacion_estimada","tipo_tenedor","superhost"
71615,14,"Barcelona, Spain","f","la Sagrada Família",39,43,"la Sagrada Família","Eixample",41.40556,2.17262,1,1125,115,"Spain - National registration number<br />ESFCTU000008058000039706000000000000000HUTB-002062349<br /><br />Barcelona - Regional registration number<br />HUTB-002062",24,24,250,"Gran tenedor (>20)",0
9100900,12,"Barcelona, Spain","t","el Fort Pienc",1,1,"el Fort Pienc","Eixample",41.40001,2.18416,2,1125,294,"Barcelona - Regional registration number<br />HUTB-008524<br /><br />Spain - National registration number<br />ESFCTU00000807200012837600000000000000000HUTB-0085249",1,1,71,"Pequeño (1)",1
12385333,11,"Barcelona, Spain","f","El Poble-sec",2,2,"el Poble Sec","Sants-Montjuïc",41.3723,2.16441,3,1125,115,"Barcelona - Regional registration number<br />HUTB-006856",2,2,250,"Mediano (2-5)",0
1744516,13,"Barcelona, Spain","f","Vila de Gràcia",41,59,"la Vila de Gràcia","Gràcia",41.39996,2.16339,3,1125,222,"Spain - National registration number<br />ESHFTU00000805700055108900800000000000000HUTB-0074460",39,39,143,"Gran tenedor (>20)",0
31970000,10,"Barcelona, Spain","f","El Poblenou",1,1,"el Poblenou","Sant Martí",41.39782,2.20745,32,365,365,"",1,0,0,"Pequeño (1)",0
375625,14,"Barcelona, Spain","t","El Poblenou",5,9,"el Poblenou","Sant Martí",41.39909,2.20733,1,28,190,"Barcelona - Regional registration number<br />HUTB-002924",5,5,175,"Mediano (2-5)",1
8130906,11,"Barcelona, Spain","f","Dreta de l'Eixample",64,74,"la Vila de Gràcia","Gràcia",41.39897,2.15688,1,1125,325,"Barcelona - Regional registration number<br />HUTB-010949<br /><br />Spain - National registration number<br />ESFCTU00000806600038174900000000000000000HUTB-0109493",64,64,40,"Gran tenedor (>20)",0
4396136,13,"Barcelona, Spain","f","El Poble-sec",17,32,"el Poble Sec","Sants-Montjuïc",41.37333,2.15451,3,1125,221,"Barcelona - Regional registration number<br />HUTB-005253",13,13,144,"Profesional (6-20)",0
1744516,13,"Barcelona, Spain","f","Vila de Gràcia",41,59,"la Sagrada Família","Eixample",41.40704,2.18098,3,1125,296,"Spain - National registration number<br />ESFCTU000008073000928126000000000000000000HUTB0104059",39,39,69,"Gran tenedor (>20)",0
4687292,12,"Barcelona, Spain","f","El Poble-sec",1,6,"el Poble Sec","Sants-Montjuïc",41.37431,2.16577,2,90,251,"Spain - National registration number<br />ESFCTU00000806900001257600000000000000000HUTB-0027713<br /><br />Barcelona - Regional registration number<br />HUTB-002771",1,1,114,"Pequeño (1)",0
4116737,9,"Barcelona, Spain","t","La Barceloneta",1,1,"la Barceloneta","Ciutat Vella",41.38223,2.18798,31,1125,203,"",1,1,162,"Pequeño (1)",1
2688205,13,"Barcelona, Spain","t","La Nova Esquerra de l'Eixample",13,13,"la Vila de Gràcia","Gràcia",41.39888,2.16226,3,1125,226,"Barcelona - Regional registration number<br />HUTB-009099<br /><br />Spain - National registration number<br />ESFCTU00000805600026508800000000000000000HUTB-0126724",13,13,139,"Profesional (6-20)",1
3744544,12,"Barcelona, Spain","t","Dreta de l'Eixample",33,42,"la Sagrada Família","Eixample",41.4055,2.17727,3,9,257,"Barcelona - Regional registration number<br />hutb-008493<br /><br />Spain - National registration number<br />ESFCTU00000807300025677900000000000000HUTB-008493-766",33,33,108,"Gran tenedor (>20)",1
