id,neighbourhood_group_cleansed,latitude,longitude,property_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,ocupacion_estimada,tipo_tenedor,superhost
21853,Latina,40.40381,-3.7413,Private room in rental unit,1,,,,,4,40,33,4.58,4.72,4.56,4.75,4.82,4.21,4.67,2,167,Mediano (2-5),0
30320,Centro,40.41476,-3.70418,Entire rental unit,2,1.0,1.0,2.0,$157.00,5,50,173,4.63,4.71,4.88,4.82,4.78,4.9,4.69,17,23,Profesional (6-20),0
30959,Centro,40.41259,-3.70105,Entire loft,2,,1.0,,,3,730,8,4.38,4.14,4.38,4.63,4.63,4.88,4.25,1,365,Pequeño (1),0
40916,Centro,40.42247,-3.70577,Entire rental unit,2,1.0,1.0,3.0,$143.00,5,50,53,4.68,4.71,4.9,4.87,4.81,4.88,4.59,17,24,Profesional (6-20),0
62423,Centro,40.41884,-3.69655,Private room in rental unit,4,1.5,1.0,2.0,$65.00,1,30,249,4.65,4.78,4.46,4.8,4.86,4.97,4.6,3,66,Mediano (2-5),0
70059,Centro,40.42381,-3.71038,Entire rental unit,2,,1.0,,,7,365,64,4.68,4.75,4.75,4.86,4.89,4.95,4.54,1,365,Pequeño (1),0
70073,Centro,40.42252,-3.7025,Entire rental unit,2,1.0,1.0,1.0,$116.00,30,360,36,4.23,4.49,4.42,4.43,4.4,4.6,4.09,4,60,Mediano (2-5),0
70310,Centro,40.42252,-3.7025,Entire rental unit,2,1.0,1.0,2.0,$79.00,30,360,31,4.37,4.65,4.55,4.8,4.71,4.87,4.1,4,48,Mediano (2-5),0
72150,Centro,40.4115,-3.70449,Entire rental unit,6,1.0,3.0,5.0,$300.00,3,180,133,4.63,4.64,4.43,4.87,4.85,4.84,4.48,4,185,Mediano (2-5),0
82481,Salamanca,40.42342,-3.68123,Entire rental unit,2,,1.0,,,3,365,105,4.78,4.69,4.96,4.97,4.96,4.95,4.69,1,365,Pequeño (1),0
84719,Centro,40.40866,-3.70374,Entire rental unit,2,,1.0,,,7,1125,182,4.67,4.79,4.86,4.83,4.85,4.44,4.69,1,337,Pequeño (1),0
86042,Centro,40.40939,-3.69812,Entire rental unit,6,1.0,3.0,3.0,$166.00,3,365,233,4.83,4.81,4.65,4.88,4.92,4.92,4.68,4,215,Mediano (2-5),0
100411,Fuencarral - El Pardo,40.50044,-3.67032,Entire rental unit,2,,1.0,,,2,30,3,4.67,5.0,4.67,5.0,4.33,4.33,4.67,1,365,Pequeño (1),0
102040,Ciudad Lineal,40.43422,-3.64196,Private room in rental unit,1,,,,,3,90,0,,,,,,,,1,365,Pequeño (1),0
120293,Centro,40.41143,-3.70912,Private room in rental unit,2,1.0,1.0,2.0,$45.00,1,365,402,4.8,4.85,4.82,4.9,4.9,4.95,4.74,1,249,Pequeño (1),1
136058,Villaverde,40.35761,-3.69723,Private room in rental unit,1,1.0,1.0,1.0,$24.00,1,1125,97,4.94,4.96,4.95,4.98,4.98,4.74,4.93,1,365,Pequeño (1),0
163429,ChamberÃ­,40.43765,-3.70408,Entire loft,4,,1.0,,,90,365,8,4.75,5.0,4.57,5.0,4.86,5.0,4.71,1,278,Pequeño (1),0
167183,Hortaleza,40.45575,-3.64912,Private room in chalet,2,1.0,1.0,2.0,$90.00,1,1125,52,4.82,4.8,4.94,4.9,4.82,4.84,4.8,2,29,Mediano (2-5),1
199016,Centro,40.4257,-3.70383,Private room in rental unit,2,1.0,1.0,1.0,$60.00,2,365,72,4.76,4.83,4.8,4.87,4.85,4.96,4.69,1,108,Pequeño (1),1
199201,Centro,40.41319,-3.7024,Private room in rental unit,2,1.0,1.0,1.0,$120.00,3,30,223,4.87,4.87,4.91,4.98,4.99,4.99,4.82,1,331,Pequeño (1),1
200828,Salamanca,40.43201,-3.68358,Entire rental unit,7,,2.0,,,14,100,0,,,,,,,,1,365,Pequeño (1),0
204570,Centro,40.4152,-3.69668,Entire rental unit,5,2.0,2.0,2.0,$160.00,5,365,107,4.84,4.85,4.82,4.94,4.9,4.97,4.84,1,322,Pequeño (1),0
205199,Centro,40.42116,-3.70384,Entire condo,2,1.0,0.0,1.0,$98.00,15,365,374,4.94,4.97,4.97,4.96,4.95,4.94,4.9,2,46,Mediano (2-5),0
211444,Hortaleza,40.45959,-3.64699,Private room in rental unit,2,1.0,1.0,1.0,$68.00,2,365,234,4.95,4.96,4.99,4.99,4.96,4.81,4.93,1,57,Pequeño (1),1
221017,Centro,40.4131,-3.70086,Entire rental unit,4,2.0,2.0,5.0,$117.00,5,18,79,4.57,4.52,4.39,4.79,4.72,4.95,4.48,2,323,Mediano (2-5),0
225489,ChamberÃ­,40.43595,-3.70706,Private room in rental unit,1,,,,,25,365,30,4.72,4.9,4.86,5.0,4.93,4.83,4.83,3,365,Mediano (2-5),0
229664,Centro,40.4078,-3.70085,Entire rental unit,3,0.5,1.0,2.0,$58.00,10,1125,563,4.29,4.45,4.18,4.51,4.63,4.48,4.35,2,74,Mediano (2-5),0
233011,Centro,40.41175,-3.70021,Entire rental unit,4,1.0,1.0,2.0,$70.00,2,18,97,4.56,4.59,4.62,4.62,4.74,4.88,4.54,2,80,Mediano (2-5),0
256004,Centro,40.41428,-3.70767,Entire rental unit,10,1.0,3.0,8.0,$138.00,3,300,224,4.64,4.63,4.71,4.83,4.8,4.97,4.55,7,225,Profesional (6-20),0
258713,Arganzuela,40.39627,-3.69926,Entire condo,2,1.0,1.0,1.0,$100.00,4,30,88,4.89,4.89,4.92,4.92,4.9,4.83,4.76,1,240,Pequeño (1),1
